First Name,Last Name Initial,Coolness,Length of First Name,Distance,is_Cool
Sheila,O,7,6,4,0
Melinda,M,23,7,0,0
John,B,5,4,8,0
Steven,L,11,6,7,0
Sonja,I,82,5,10,1
Tami,K,31,4,9,0
Richard,N,27,7,4,0
Robert,R,21,6,0,0
Donald,M,62,6,9,0
Jose,Y,81,4,15,1
Eddie,W,26,5,18,0
John,S,49,4,9,0
Robert,J,82,6,8,1
Travis,L,44,6,8,0
Yoshiko,A,22,7,24,0
Clyde,Z,94,5,23,1
Britt,N,32,5,12,0
Shirley,A,24,7,18,0
Charles,O,16,7,12,0
Daniel,W,80,6,19,1
Napoleon,F,18,8,8,0
William,V,5,7,1,0
Todd,B,84,4,18,1
Nancy,N,40,5,0,0
Jamie,I,34,5,1,0
Dexter,R,79,6,14,1
Sandi,I,24,5,10,0
Iris,A,72,4,8,0
Keith,F,8,5,5,0
Jaclyn,V,87,6,12,1
Robert,J,83,6,8,1
Joseph,O,67,6,5,0
Joe,M,93,3,3,1
Terrance,E,60,8,15,0
Ronald,Z,29,6,8,0
Barbara,Z,89,7,24,1
Annetta,S,77,7,18,1
Helen,A,4,5,7,0
Jose,K,57,4,1,0
Janet,R,70,5,8,0
Leland,O,47,6,3,0
Roberta,Q,56,7,1,0
Paul,Y,39,4,9,0
Noah,K,69,4,3,0
Elizabeth,X,70,9,19,0
Edwin,U,40,5,16,0
Kimberly,H,60,8,3,0
Karen,U,54,5,10,0
Gerald,U,81,6,14,1
Christina,E,36,9,2,0
Steven,B,18,6,17,0
Ginette,F,97,7,1,1
Mark,T,99,4,7,1
Deborah,E,83,7,1,1
Robert,F,54,6,12,0
Harriet,D,77,7,4,1
Norris,Z,76,6,12,1
Martha,Y,18,6,12,0
Marcus,I,0,6,4,0
Bernardo,A,70,8,1,0
Mark,Z,30,4,13,0
Mary,R,77,4,5,1
Walter,V,85,6,1,1
Fred,T,9,4,14,0
Jose,N,69,4,4,0
Gregory,E,20,7,2,0
Ralph,Y,42,5,7,0
Dustin,D,38,6,0,0
Joseph,L,19,6,2,0
Jamie,Y,98,5,15,1
Ramon,E,99,5,13,1
Jerry,P,12,5,6,0
Ruth,Z,59,4,8,0
Luis,I,57,4,3,0
Gilbert,K,73,7,4,0
Heather,W,43,7,15,0
Marci,M,31,5,0,0
David,X,86,5,20,1
Cherie,J,17,6,7,0
Opal,V,45,4,7,0
Sandra,E,98,6,14,1
Hung,J,82,4,2,1
Theresa,U,36,7,1,0
Jeanette,Y,89,8,15,1
Robert,E,30,6,13,0
John,W,62,4,13,0
Joshua,N,78,6,4,1
April,L,82,5,11,1
Catherine,Q,77,9,14,1
William,D,13,7,19,0
Melissa,Q,14,7,4,0
Vanessa,U,30,7,1,0
Peggy,E,33,5,11,0
Kelli,R,21,5,7,0
Kenneth,H,43,7,3,0
Monica,X,75,6,11,0
Pam,E,38,3,11,0
David,I,7,5,5,0
Jenny,D,90,5,6,1
Robert,H,36,6,10,0
Sherry,L,69,6,7,0
Frederick,N,40,9,8,0
Jamal,M,53,5,3,0
Louis,N,6,5,2,0
David,U,73,5,17,0
Danny,E,44,5,1,0
Delbert,F,17,7,2,0
Jennifer,Z,85,8,16,1
Daniel,S,66,6,15,0
Frederick,O,54,9,9,0
Anna,Z,2,4,25,0
Paul,P,84,4,0,1
Dorothy,T,41,7,16,0
Marvin,L,94,6,1,1
Marlene,F,14,7,7,0
Genevieve,G,21,9,0,0
Steven,G,48,6,12,0
Norma,J,96,5,4,1
Dorothy,U,38,7,17,0
Ernest,H,56,6,3,0
Colleen,S,45,7,16,0
Victoria,S,54,8,3,0
Rochelle,T,37,8,2,0
Judy,I,12,4,1,0
Lydia,S,12,5,7,0
Bryan,A,89,5,1,1
Charles,W,100,7,20,1
Lois,D,22,4,8,0
Brandon,C,77,7,1,1
Patricia,O,30,8,1,0
Andre,A,57,5,0,0
Josefina,Y,60,8,15,0
David,W,2,5,19,0
Ellen,Y,38,5,20,0
Ida,B,4,3,7,0
Patricia,M,63,8,3,0
Michael,R,74,7,5,0
Robin,J,94,5,8,1
Andrea,Y,20,6,24,0
Olivia,V,87,6,7,1
John,Z,41,4,16,0
Marge,F,63,5,7,0
Erica,Y,30,5,20,0
David,B,62,5,2,0
Lissette,U,30,8,9,0
Elizabeth,Q,89,9,12,1
Henry,O,83,5,7,1
Margaret,G,43,8,6,0
Ivan,J,18,4,1,0
Sherrie,H,23,7,11,0
Andrea,V,0,6,21,0
Glenda,C,98,6,4,1
Norman,Q,58,6,3,0
Justin,O,39,6,5,0
Mollie,Y,6,6,12,0
Mary,S,33,4,6,0
Janice,Y,84,6,15,1
Judy,N,0,4,4,0
Tina,Z,15,4,6,0
Frances,M,64,7,7,0
Donald,E,87,6,1,1
Paula,H,14,5,8,0
Patricia,D,29,8,12,0
Kay,X,7,3,13,0
Amy,B,22,3,1,0
Mary,S,0,4,6,0
Scott,U,100,5,2,1
Paul,R,66,4,2,0
Tyrone,W,63,6,3,0
David,Z,14,5,22,0
Peggy,B,94,5,14,1
Vivian,Q,20,6,5,0
Marcia,W,77,6,10,1
Victor,L,44,6,10,0
Nora,D,57,4,10,0
Edmund,J,23,6,5,0
Michael,U,67,7,8,0
Cora,F,39,4,3,0
Tracie,H,71,6,12,0
Kenneth,O,82,7,4,1
Caitlin,T,36,7,17,0
Clarence,O,49,8,12,0
Juan,D,92,4,6,1
Manuel,M,95,6,0,1
Glen,B,35,4,5,0
Tracey,Z,15,6,6,0
Debra,R,91,5,14,1
Marvin,G,78,6,6,1
Larry,J,34,5,2,0
Kimberly,N,22,8,3,0
Henry,S,82,5,11,1
Curtis,D,70,6,1,0
Michelle,S,10,8,6,0
Michael,B,49,7,11,0
Sandy,I,0,5,10,0
Donald,W,54,6,19,0
Myrtle,C,35,6,10,0
Suzanne,O,49,7,4,0
Emery,J,34,5,5,0
Melissa,H,44,7,5,0
Jeff,W,87,4,13,1
Laura,Y,68,5,13,0
Jamie,H,14,5,2,0
Sylvia,E,88,6,14,1
Maribel,D,78,7,9,1
Robert,Z,83,6,8,1
Jerry,S,56,5,9,0
James,H,31,5,2,0
Bruce,U,90,5,19,1
Robert,W,68,6,5,0
Julie,T,60,5,10,0
Danita,M,43,6,9,0
Andrew,N,78,6,13,1
Claudia,K,55,7,8,0
Bryan,Z,1,5,24,0
Donald,U,52,6,17,0
Anna,L,41,4,11,0
Mark,H,5,4,5,0
Shawn,R,43,5,1,0
Christopher,B,61,11,1,0
John,E,21,4,5,0
Harold,G,56,6,1,0
Dana,V,37,4,18,0
Joseph,N,93,6,4,1
Debra,W,29,5,19,0
Raymond,N,49,7,4,0
Patsy,X,24,5,8,0
Troy,J,46,4,10,0
Nanette,R,29,7,4,0
Francisco,O,75,9,9,0
Michael,T,14,7,7,0
Lacy,N,74,4,2,0
Vickie,H,70,6,14,0
David,B,10,5,2,0
Alisha,I,82,6,8,1
Reba,S,36,4,1,0
Elizabeth,X,90,9,19,1
Buster,S,36,6,17,0
Kate,O,23,4,4,0
Stephanie,R,47,9,1,0
Carol,R,87,5,15,1
Judith,B,57,6,8,0
Sylvia,H,66,6,11,0
Corey,U,2,5,18,0
Caron,Y,11,5,22,0
Glenda,N,90,6,7,1
Caren,U,64,5,18,0
Linda,X,8,5,12,0
Maria,U,13,5,8,0
Perry,X,42,5,8,0
Eusebia,N,48,7,9,0
Alexander,U,88,9,20,1
Janelle,V,27,7,12,0
Christopher,I,56,11,6,0
Sharon,S,34,6,0,0
Elba,K,45,4,6,0
Daniel,I,80,6,5,1
Janet,C,55,5,7,0
John,E,7,4,5,0
Latasha,T,42,7,8,0
Marie,N,42,5,1,0
Vanessa,U,28,7,1,0
Sylvia,J,2,6,9,0
Shayne,I,42,6,10,0
David,Q,68,5,13,0
Austin,B,39,6,1,0
Darlene,A,58,7,3,0
Dawn,L,8,4,8,0
James,E,74,5,5,0
Dan,T,13,3,16,0
Gerardo,Z,95,7,19,1
Harry,P,45,5,8,0
Louis,F,15,5,6,0
Darlene,A,16,7,3,0
Earl,A,22,4,4,0
Mark,N,64,4,1,0
Laverne,K,67,7,1,0
Susan,D,29,5,15,0
John,L,50,4,2,0
Kathleen,M,77,8,2,1
Mary,N,55,4,1,0
Patrick,N,0,7,2,0
James,E,54,5,5,0
Jessie,M,63,6,3,0
Amanda,M,89,6,12,1
Betty,W,4,5,21,0
Shane,L,66,5,7,0
Jane,K,46,4,1,0
Kandace,M,44,7,2,0
Peggy,B,95,5,14,1
Reginald,P,50,8,2,0
Gabriel,T,72,7,13,0
Norma,K,49,5,3,0
Richard,Q,36,7,1,0
John,R,65,4,8,0
Gina,S,52,4,12,0
John,R,95,4,8,1
Robert,Q,43,6,1,0
Julian,B,64,6,8,0
Lindsay,Q,14,7,5,0
Jose,R,24,4,8,0
Jeffrey,Q,83,7,7,1
Billy,G,47,5,5,0
Linda,R,63,5,6,0
Jodi,O,98,4,5,1
Cheryl,D,42,6,1,0
Bessie,Z,62,6,24,0
Peter,C,30,5,13,0
Susan,S,33,5,0,0
Jose,Q,11,4,7,0
Jess,O,62,4,5,0
Jasper,W,84,6,13,1
Leisa,Y,83,5,13,1
Robin,F,6,5,12,0
Marlene,H,20,7,5,0
Benjamin,Y,55,8,23,0
Willa,M,86,5,10,1
Gordon,T,12,6,13,0
Shelley,L,8,7,7,0
Robert,G,25,6,11,0
Breana,Y,54,6,23,0
Eunice,S,57,6,14,0
Naomi,I,48,5,5,0
Andrew,F,48,6,5,0
Hugo,E,40,4,3,0
Jeremy,P,82,6,6,1
Jane,H,38,4,2,0
Margaret,A,86,8,12,1
Beatriz,O,70,7,13,0
David,A,42,5,3,0
Marisa,J,45,6,3,0
Maria,T,29,5,7,0
Tom,M,75,3,7,0
Della,I,79,5,5,1
Linda,S,57,5,7,0
William,P,44,7,7,0
Richard,V,13,7,4,0
Bertha,C,32,6,1,0
Mathew,V,95,6,9,1
Keith,G,53,5,4,0
Tressa,V,36,6,2,0
Thomas,W,69,6,3,0
Mary,K,8,4,2,0
Enola,R,6,5,13,0
James,L,23,5,2,0
John,C,11,4,7,0
Paula,F,32,5,10,0
Monica,E,37,6,8,0
Nelson,J,4,6,4,0
Teena,P,82,5,4,1
Jennifer,J,8,8,0,0
Ronald,T,16,6,2,0
Evelyn,M,49,6,8,0
Anna,Q,88,4,16,1
Edmundo,Q,20,7,12,0
James,T,89,5,10,1
Herman,Y,84,6,17,1
Virgil,M,28,6,9,0
Lincoln,Y,76,7,13,1
Dorothy,A,24,7,3,0
Renee,K,36,5,7,0
Angela,F,92,6,5,1
Brooke,L,27,6,10,0
Marie,B,27,5,11,0
Dorothy,W,49,7,19,0
Michelle,R,62,8,5,0
William,L,30,7,11,0
Erin,J,9,4,5,0
Grace,N,60,5,7,0
Ciara,F,90,5,3,1
Alina,C,23,5,2,0
Kenneth,Y,16,7,14,0
Julia,P,91,5,6,1
James,X,1,5,14,0
Linda,D,56,5,8,0
Patricia,M,67,8,3,0
Craig,U,73,5,18,0
Simona,F,2,6,13,0
Helen,J,26,5,2,0
Louis,W,73,5,11,0
Lupe,H,0,4,4,0
Shawn,Z,71,5,7,0
Myrtle,Q,78,6,4,1
James,K,29,5,1,0
Stephanie,R,88,9,1,1
Melvin,X,63,6,11,0
Steven,S,63,6,0,0
Jonathan,M,66,8,3,0
Pat,W,54,3,7,0
Deanna,W,42,6,19,0
Sandra,B,42,6,17,0
Charles,P,94,7,13,1
Jennifer,A,83,8,9,1
Bob,I,72,3,7,0
Jack,T,14,4,10,0
Frances,E,71,7,1,0
Paul,H,100,4,8,1
Joseph,K,72,6,1,0
Carol,Z,78,5,23,1
Rachel,Y,26,6,7,0
Mae,T,5,3,7,0
Wayne,B,83,5,21,1
Doris,C,35,5,1,0
Carolyn,H,33,7,5,0
Alejandra,J,57,9,9,0
Amy,M,92,3,12,1
John,U,44,4,11,0
Genie,F,6,5,1,0
Rico,W,12,4,5,0
William,V,78,7,1,1
Mabel,S,14,5,6,0
Fay,U,57,3,15,0
Helen,C,93,5,5,1
Linda,H,57,5,4,0
Kimberly,H,61,8,3,0
Adele,G,35,5,6,0
Joseph,A,27,6,9,0
Kenneth,B,41,7,9,0
Ann,U,20,3,20,0
Colleen,Q,38,7,14,0
John,H,44,4,2,0
Margie,Z,8,6,13,0
Tandy,F,27,5,14,0
Albert,K,90,6,10,1
Melissa,P,56,7,3,0
Julie,O,64,5,5,0
Stephanie,L,17,9,7,0
Nancy,P,63,5,2,0
Jennifer,P,8,8,6,0
Kristi,O,31,6,4,0
Karen,X,31,5,13,0
Manuela,T,7,7,7,0
Nancy,V,66,5,8,0
Ivan,O,55,4,6,0
Darnell,S,78,7,15,1
Tonya,J,54,5,10,0
Bradford,J,7,8,8,0
Lillian,J,94,7,2,1
Candi,O,49,5,12,0
Amanda,B,53,6,1,0
Claude,X,97,6,21,1
Cynthia,R,70,7,15,0
Michael,H,35,7,5,0
Kathryn,P,23,7,5,0
Margaret,A,45,8,12,0
Philip,Z,17,6,10,0
Michael,V,35,7,9,0
Sandra,P,13,6,3,0
Dorothy,X,74,7,20,0
Rickey,E,79,6,13,1
Timothy,V,9,7,2,0
Veronica,R,27,8,4,0
Oscar,V,46,5,7,0
Kevin,Y,3,5,14,0
Carol,L,82,5,9,1
John,A,40,4,9,0
Vivian,T,49,6,2,0
Rosalie,K,86,7,7,1
Lemuel,O,99,6,3,1
Louise,H,28,6,4,0
Marie,M,19,5,0,0
Annabelle,N,8,9,13,0
Corinne,F,29,7,3,0
Tiffany,H,3,7,12,0
Marilyn,R,76,7,5,1
Stephanie,V,30,9,3,0
Chester,N,29,7,11,0
Sandy,N,41,5,5,0
Osvaldo,C,26,7,12,0
John,W,64,4,13,0
Debby,A,41,5,3,0
Thomasine,S,99,9,1,1
Curtis,Y,20,6,22,0
Bryan,Y,66,5,23,0
Michael,Z,29,7,13,0
Mary,J,36,4,3,0
Daniel,T,66,6,16,0
Kevin,N,65,5,3,0
Amy,E,27,3,4,0
William,Z,90,7,3,1
Sherri,P,7,6,3,0
Jeffrey,E,83,7,5,1
Thomas,E,72,6,15,0
James,B,37,5,8,0
Charles,N,2,7,11,0
Magdalena,I,99,9,4,1
Nancy,I,77,5,5,1
Michael,T,46,7,7,0
Michael,A,91,7,12,1
Kathleen,O,51,8,4,0
Edgar,V,67,5,17,0
Kimberly,B,37,8,9,0
John,D,98,4,6,1
Eric,M,39,4,8,0
Stuart,G,28,6,12,0
Joseph,S,18,6,9,0
Matthew,L,90,7,1,1
Misty,V,42,5,9,0
Mary,Z,81,4,13,1
Janet,Z,62,5,16,0
Jeanette,Q,15,8,7,0
Melvin,O,57,6,2,0
Jacinda,W,88,7,13,1
Andrew,A,75,6,0,0
Gertrude,C,67,8,4,0
Heidi,K,59,5,3,0
George,G,26,6,0,0
Lila,Q,11,4,5,0
Anna,K,25,4,10,0
Virginia,G,22,8,15,0
Vivian,W,44,6,1,0
Marvin,Z,58,6,13,0
Tamera,O,28,6,5,0
Tommie,K,82,6,9,1
Michelle,C,6,8,10,0
Paul,Q,97,4,1,1
Joyce,R,96,5,8,1
Thomas,R,72,6,2,0
William,G,22,7,16,0
Santa,D,82,5,15,1
Earl,F,61,4,1,0
Lucille,P,69,7,4,0
Gertrude,E,36,8,2,0
Jennifer,W,88,8,13,1
Jesus,F,49,5,4,0
Wanda,I,85,5,14,1
Robert,N,2,6,4,0
William,Y,48,7,2,0
Vinita,H,6,6,14,0
Timothy,N,60,7,6,0
David,H,90,5,4,1
John,N,83,4,4,1
Jerry,S,33,5,9,0
Everett,P,11,7,11,0
Robert,V,90,6,4,1
Tonya,X,65,5,4,0
Dana,T,75,4,16,0
Teresa,P,93,6,4,1
Alexander,B,6,9,1,0
Carol,M,5,5,10,0
Denise,Q,22,6,13,0
John,B,53,4,8,0
Jason,R,82,5,8,1
Yolonda,Y,64,7,0,0
Raymond,F,7,7,12,0
Betty,Y,65,5,23,0
Chrissy,Q,18,7,14,0
Virginia,Y,5,8,3,0
Mary,E,20,4,8,0
Martha,T,37,6,7,0
Andrew,F,73,6,5,0
Lenna,X,21,5,12,0
Clifton,U,78,7,18,1
Lewis,Z,50,5,14,0
Chase,X,64,5,21,0
Deborah,R,68,7,14,0
Raymond,G,56,7,11,0
William,U,7,7,2,0
Jessica,P,62,7,6,0
Matthew,E,47,7,8,0
John,E,35,4,5,0
Melanie,L,5,7,1,0
Ofelia,P,20,6,1,0
Cesar,J,96,5,7,1
Brett,D,72,5,2,0
Peter,R,93,5,2,1
Travis,O,50,6,5,0
Bobby,M,75,5,11,0
Alfred,O,12,6,14,0
Brenda,B,56,6,0,0
Troy,I,21,4,11,0
Dean,M,73,4,9,0
Keith,M,2,5,2,0
William,P,100,7,7,1
Katherine,Z,18,9,15,0
Janita,F,74,6,4,0
Mary,Q,63,4,4,0
Michael,X,94,7,11,1
Margaret,O,16,8,2,0
Antonio,F,80,7,5,1
Vanessa,V,87,7,0,1
Kelly,U,32,5,10,0
Grace,T,22,5,13,0
Harold,U,94,6,13,1
Michael,Q,90,7,4,1
Richard,I,42,7,9,0
Bennie,E,87,6,3,1
Otis,A,17,4,14,0
Mary,U,70,4,8,0
Bill,G,42,4,5,0
Natalie,G,35,7,7,0
Alice,V,22,5,21,0
Tisha,S,37,5,1,0
Danica,K,2,6,7,0
Susan,Y,64,5,6,0
Ray,D,82,3,14,1
Tom,T,40,3,0,0
Luis,W,62,4,11,0
Rudy,F,80,4,12,1
Vera,A,29,4,21,0
Christian,Y,56,9,22,0
Steven,F,68,6,13,0
Phillip,C,65,7,13,0
Janene,Z,67,6,16,0
Albert,B,89,6,1,1
James,Y,8,5,15,0
Roland,K,46,6,7,0
Sade,X,0,4,5,0
Randall,K,35,7,7,0
David,S,34,5,15,0
Guy,L,77,3,5,1
Ruby,H,5,4,10,0
Marlene,B,64,7,11,0
Patricia,B,61,8,14,0
Thelma,Z,77,6,6,1
Ginger,D,84,6,3,1
Vonnie,O,39,6,7,0
Janice,E,77,6,5,1
Rose,L,24,4,6,0
Mark,Z,50,4,13,0
Lacresha,K,54,8,1,0
Philip,U,92,6,5,1
Michael,K,27,7,2,0
Irvin,A,15,5,8,0
John,L,10,4,2,0
Crystal,O,100,7,12,1
Ashley,M,78,6,12,1
James,T,37,5,10,0
Richard,R,7,7,0,0
Lois,C,89,4,9,1
Michael,M,36,7,0,0
Theodore,R,47,8,2,0
Timothy,I,40,7,11,0
Allan,G,69,5,6,0
Patrice,L,55,7,4,0
Daniel,E,32,6,1,0
Charles,C,15,7,0,0
Alice,U,27,5,20,0
Robert,S,48,6,1,0
Joanne,U,50,6,11,0
Charles,U,93,7,18,1
Dorothy,C,9,7,1,0
Mary,Y,56,4,12,0
Stella,Q,99,6,2,1
Essie,Y,64,5,20,0
Margaret,E,46,8,8,0
Latonya,W,96,7,11,1
Geraldine,B,12,9,5,0
Jacob,L,59,5,2,0
Randy,X,3,5,6,0
Bonnie,W,90,6,21,1
Yong,O,97,4,10,1
Alexa,O,93,5,14,1
Meredith,K,13,8,2,0
Jon,E,81,3,5,1
Kelly,D,6,5,7,0
Carlos,D,74,6,1,0
Robert,Y,1,6,7,0
John,S,48,4,9,0
William,O,23,7,8,0
Lemuel,A,0,6,11,0
Beverly,H,1,7,6,0
Christine,N,46,9,11,0
Mattie,K,62,6,2,0
Chandra,P,52,7,13,0
Ryan,W,53,4,5,0
Gladys,T,59,6,13,0
John,T,3,4,10,0
Raymond,V,29,7,4,0
Kevin,E,28,5,6,0
Jenny,I,47,5,1,0
Bernadette,U,34,10,19,0
Particia,D,66,8,12,0
Justin,O,15,6,5,0
Steven,M,65,6,6,0
Herbert,Y,86,7,17,1
Martha,J,86,6,3,1
Teresa,A,84,6,19,1
Lillie,K,61,6,1,0
Charlesetta,X,52,11,21,0
Gloria,H,4,6,1,0
Charles,X,47,7,21,0
Ramon,U,38,5,3,0
Dorothy,Q,15,7,13,0
Phillip,R,22,7,2,0
Mohammad,C,71,8,10,0
David,W,9,5,19,0
Mary,T,5,4,7,0
Paula,J,22,5,6,0
Mary,B,5,4,11,0
Rose,V,89,4,4,1
Jeffrey,K,65,7,1,0
Barbara,Z,1,7,24,0
Liana,S,96,5,7,1
Sara,Y,67,4,6,0
Mary,M,40,4,0,0
Megan,U,51,5,8,0
Norine,R,31,6,4,0
Bert,X,53,4,22,0
Lovie,A,47,5,11,0
Robert,L,56,6,6,0
Annie,X,9,5,23,0
Minnie,F,68,6,7,0
Charles,I,82,7,6,1
Monica,T,2,6,7,0
Evangeline,G,87,10,2,1
Theresa,B,66,7,18,0
Dana,G,80,4,3,1
Vivan,S,90,5,3,1
Thelma,Y,48,6,5,0
Edna,D,16,4,1,0
Daniel,P,9,6,12,0
Paul,T,12,4,4,0
Christopher,D,30,11,1,0
Pauline,I,26,7,7,0
France,S,96,6,13,1
Kenneth,P,10,7,5,0
Jamie,V,73,5,12,0
Catherine,Y,93,9,22,1
Misty,H,84,5,5,1
Tamara,L,43,6,8,0
Charlotte,J,58,9,7,0
Thomas,S,81,6,1,1
Fletcher,V,56,8,16,0
Elena,E,59,5,0,0
Charles,Z,13,7,23,0
Clement,C,38,7,0,0
Pierre,E,33,6,11,0
Tim,H,73,3,12,0
Daniel,Y,83,6,21,1
Adrienne,O,24,8,14,0
Sherry,X,62,6,5,0
Bessie,X,46,6,22,0
Jennifer,H,49,8,2,0
Don,Y,93,3,21,1
Rose,S,55,4,1,0
Bonnie,Y,48,6,23,0
Alice,K,88,5,10,1
Calvin,G,49,6,4,0
Charlene,S,75,8,16,0
Bertha,I,89,6,7,1
Tammy,U,98,5,1,1
John,P,15,4,6,0
Sandra,L,24,6,7,0
Sherri,R,4,6,1,0
Linda,S,82,5,7,1
Ellen,G,70,5,2,0
Wayne,O,88,5,8,1
Karen,L,13,5,1,0
Doris,F,14,5,2,0
Joe,Z,5,3,16,0
Robert,B,89,6,16,1
Samantha,U,81,8,2,1
Pat,R,94,3,2,1
Anne,X,53,4,23,0
Clara,F,97,5,3,1
Wendy,H,81,5,15,1
Deborah,K,47,7,7,0
Amanda,T,92,6,19,1
Deborah,Q,89,7,13,1
Woodrow,D,17,7,19,0
Stacy,O,89,5,4,1
James,H,6,5,2,0
Steven,Y,23,6,6,0
Carter,F,34,6,3,0
Vivian,Z,89,6,4,1
Mary,N,10,4,1,0
David,M,84,5,9,1
Ivan,Q,32,4,8,0
Cody,W,13,4,20,0
Ty,N,47,2,6,0
Jean,L,17,4,2,0
Floyd,G,74,5,1,0
Hector,J,56,6,2,0
William,A,20,7,22,0
Mable,H,51,5,5,0
Kent,C,28,4,8,0
Frederick,Q,64,9,11,0
Jaclyn,R,1,6,8,0
George,T,93,6,13,1
Paul,L,3,4,4,0
Kristy,E,7,6,6,0
James,V,57,5,12,0
David,D,16,5,0,0
Betty,X,84,5,22,1
Patricia,W,77,8,7,1
Arthur,S,1,6,18,0
Joe,R,98,3,8,1
Gerda,N,70,5,7,0
Terry,X,16,5,4,0
Margaret,X,95,8,11,1
Florence,F,38,8,0,0
Edna,Q,96,4,12,1
Julianne,O,7,8,5,0
Mary,A,96,4,12,1
Michael,C,3,7,10,0
Tommy,I,12,5,11,0
Marisol,L,16,7,1,0
Donald,Z,23,6,22,0
Carl,R,90,4,15,1
Helen,C,60,5,5,0
Soon,C,32,4,16,0
Joseph,H,42,6,2,0
Lynn,O,65,4,3,0
Brian,N,73,5,12,0
Ronald,Z,86,6,8,1
Elnora,V,49,6,17,0
Wendell,Q,24,7,6,0
Brittney,N,41,8,12,0
Larry,U,48,5,9,0
Michael,N,29,7,1,0
Nina,Y,65,4,11,0
Lucy,M,46,4,1,0
Marsha,U,27,6,8,0
Wanda,W,1,5,0,0
George,D,92,6,3,1
Michael,M,98,7,0,1
Joan,W,77,4,13,1
Timothy,Y,8,7,5,0
Frances,V,6,7,16,0
Tonya,T,6,5,0,0
Stephanie,U,98,9,2,1
Clifford,Y,23,8,22,0
Henry,W,59,5,15,0
Toby,B,21,4,18,0
Donald,Z,82,6,22,1
Pansy,K,30,5,5,0
Donald,E,68,6,1,0
Mona,M,11,4,0,0
James,Z,12,5,16,0
Daniel,I,68,6,5,0
Joyce,K,62,5,1,0
Bernard,T,43,7,18,0
Diana,Y,4,5,21,0
Jean,C,60,4,7,0
David,H,71,5,4,0
Walter,Q,8,6,6,0
Clara,M,24,5,10,0
Robert,Z,39,6,8,0
Jean,G,61,4,3,0
Freda,H,42,5,2,0
Mark,Y,59,4,12,0
Lemuel,Y,61,6,13,0
Lisa,B,52,4,10,0
Anthony,G,31,7,6,0
Candace,C,5,7,0,0
Esther,O,82,6,10,1
Ethel,Z,39,5,21,0
Martin,J,14,6,3,0
Sophia,C,91,6,16,1
Charles,K,75,7,8,0
Helena,I,35,6,1,0
Timothy,U,14,7,1,0
James,C,76,5,7,1
Jason,X,35,5,14,0
Agnes,G,25,5,6,0
Dominic,W,89,7,19,1
Jerry,J,62,5,0,0
Stanley,V,85,7,3,1
Mozelle,G,88,7,6,1
Lin,R,15,3,6,0
Cesar,B,45,5,1,0
Laura,M,86,5,1,1
Lou,T,46,3,8,0
Ronda,W,21,5,5,0
Zoila,M,59,5,13,0
Joseph,V,35,6,12,0
Ruth,U,52,4,3,0
Michael,O,21,7,2,0
Felecia,T,11,7,14,0
Frank,K,13,5,5,0
Allison,G,71,7,6,0
Jose,C,17,4,7,0
Dennis,B,89,6,2,1
Daniel,J,38,6,6,0
Margarete,P,77,9,3,1
Muriel,G,3,6,6,0
Wendolyn,P,32,8,7,0
Jesse,M,65,5,3,0
Alfonso,E,92,7,4,1
Patrick,W,69,7,7,0
Michael,G,89,7,6,1
Adelina,K,60,7,10,0
Marie,P,1,5,3,0
Justin,I,20,6,1,0
Sandra,E,87,6,14,1
Michele,O,54,7,2,0
Marie,S,87,5,6,1
Gloria,Z,15,6,19,0
Louise,C,29,6,9,0
Barbara,S,45,7,17,0
Paul,T,87,4,4,1
Mary,J,91,4,3,1
Clark,R,29,5,15,0
Johanna,D,84,7,6,1
Agnes,J,30,5,9,0
Thomas,X,100,6,4,1
Rosalinda,V,43,9,4,0
Joan,P,84,4,6,1
Bradley,N,88,7,12,1
Dennis,L,7,6,8,0
Hazel,K,6,5,3,0
Clifford,G,67,8,4,0
Patricia,S,75,8,3,0
Carolyn,T,68,7,17,0
Margarita,J,90,9,3,1
Lucy,Q,97,4,5,1
Lea,Z,23,3,14,0
James,V,6,5,12,0
Ronald,P,38,6,2,0
Julia,R,61,5,8,0
Matthew,B,29,7,11,0
Robert,K,83,6,7,1
Robert,O,51,6,3,0
Deborah,Y,11,7,21,0
Elizabeth,O,30,9,10,0
James,U,4,5,11,0
Suzanne,X,78,7,5,1
Bonnie,Z,82,6,24,1
Theodore,Q,97,8,3,1
April,Q,53,5,16,0
Nancy,P,53,5,2,0
Donald,F,39,6,2,0
James,Q,68,5,7,0
Gloria,Y,19,6,18,0
Maureen,G,75,7,6,0
Gilbert,J,74,7,3,0
Crystal,O,21,7,12,0
Angel,T,61,5,19,0
Flora,T,40,5,14,0
Judy,N,25,4,4,0
Tiffany,G,100,7,13,1
Ryan,M,14,4,5,0
Catalina,D,42,8,1,0
Michael,N,84,7,1,1
Catina,Y,1,6,22,0
Isabel,O,82,6,6,1
Mark,M,35,4,0,0
Shirley,U,46,7,2,0
Anna,O,58,4,14,0
Rachel,K,18,6,7,0
Mary,T,94,4,7,1
Emil,R,56,4,13,0
Diane,Y,61,5,21,0
Susan,V,39,5,3,0
Lola,O,79,4,3,1
Clinton,K,9,7,8,0
Richard,M,97,7,5,1
Danny,V,15,5,18,0
Patrick,R,15,7,2,0
Timothy,E,41,7,15,0
Marylin,A,91,7,12,1
Timothy,V,90,7,2,1
Douglas,I,56,7,5,0
